coverage,pseudonymisation,flow
15,5,851
641,154,1705
1074,374,1934
744,206,1394
808,227,1216
516,186,1451
912,325,1578
613,148,920
493,101,890
734,207,1046
566,165,1628
781,209,1427
724,165,1492
771,215,1513
526,101,731
273,72,1131
1007,337,1759
702,186,1502
831,232,1620
907,303,1527
646,229,1816
607,133,1003
735,209,1710
841,294,1028
