,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,0,2,2,2
1,2008-05-18,1,3,2,2
2,2008-05-19,6,5,4,3
3,2008-05-20,3,3,2,2
4,2008-05-21,3,4,4,0
5,2008-05-22,0,3,4,1
6,2008-05-23,6,2,4,5
7,2008-05-24,4,6,1,4
8,2008-05-25,8,0,2,2
9,2008-05-26,4,2,3,0
10,2008-05-27,6,3,4,3
11,2008-05-28,2,2,3,3
12,2008-05-29,3,5,2,2
13,2008-05-30,4,3,6,2
14,2008-05-31,3,2,2,0
15,2008-06-01,0,1,5,2
16,2008-06-02,6,5,2,3
17,2008-06-03,4,3,4,6
18,2008-06-04,4,2,3,3
19,2008-06-05,3,5,1,0
20,2008-06-06,4,3,3,6
21,2008-06-07,3,4,3,1
22,2008-06-08,5,1,3,5
23,2008-06-09,6,2,1,2
