,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,0,6,2,0
1,2008-05-18,4,6,4,5
2,2008-05-19,5,8,4,3
3,2008-05-20,1,2,3,6
4,2008-05-21,5,3,8,0
5,2008-05-22,0,9,2,12
6,2008-05-23,3,7,10,3
7,2008-05-24,5,5,0,1
8,2008-05-25,1,4,3,3
9,2008-05-26,1,5,7,0
10,2008-05-27,2,10,7,5
11,2008-05-28,11,3,8,4
12,2008-05-29,7,2,8,4
13,2008-05-30,7,5,6,2
14,2008-05-31,4,3,0,0
15,2008-06-01,0,4,1,6
16,2008-06-02,10,6,6,2
17,2008-06-03,7,5,1,9
18,2008-06-04,6,3,7,2
19,2008-06-05,7,7,5,0
20,2008-06-06,7,6,10,4
21,2008-06-07,3,8,3,3
22,2008-06-08,2,6,5,9
23,2008-06-09,8,4,0,3
