,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,0,3,6,8
1,2008-05-18,7,39,4,10
2,2008-05-19,19,17,8,9
3,2008-05-20,6,9,4,18
4,2008-05-21,6,11,2,0
5,2008-05-22,0,17,12,5
6,2008-05-23,7,16,8,7
7,2008-05-24,11,11,6,4
8,2008-05-25,5,5,3,6
9,2008-05-26,7,7,10,0
10,2008-05-27,6,10,9,13
11,2008-05-28,13,6,7,9
12,2008-05-29,11,8,15,9
13,2008-05-30,4,6,20,9
14,2008-05-31,4,5,10,0
15,2008-06-01,1,3,13,14
16,2008-06-02,15,11,11,2
17,2008-06-03,8,6,7,7
18,2008-06-04,12,9,3,10
19,2008-06-05,11,12,7,0
20,2008-06-06,4,6,13,4
21,2008-06-07,13,4,5,8
22,2008-06-08,4,10,7,12
23,2008-06-09,21,3,1,1
