,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,0,9,23,7
1,2008-05-18,2,12,6,9
2,2008-05-19,21,16,10,8
3,2008-05-20,7,30,25,8
4,2008-05-21,15,7,12,0
5,2008-05-22,1,22,12,18
6,2008-05-23,6,16,16,10
7,2008-05-24,21,5,1,2
8,2008-05-25,12,4,4,9
9,2008-05-26,2,10,13,0
10,2008-05-27,4,8,8,8
11,2008-05-28,21,9,12,6
12,2008-05-29,14,10,9,8
13,2008-05-30,11,12,9,10
14,2008-05-31,9,5,9,0
15,2008-06-01,0,5,10,13
16,2008-06-02,22,12,9,6
17,2008-06-03,11,14,5,13
18,2008-06-04,8,6,13,11
19,2008-06-05,10,18,13,0
20,2008-06-06,5,15,29,9
21,2008-06-07,15,11,7,6
22,2008-06-08,6,13,7,17
23,2008-06-09,11,11,0,3
