,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,0,2,1,3
1,2008-05-18,1,4,6,13
2,2008-05-19,2,4,5,5
3,2008-05-20,2,2,2,3
4,2008-05-21,2,0,6,0
5,2008-05-22,0,6,2,7
6,2008-05-23,3,0,5,2
7,2008-05-24,4,7,5,4
8,2008-05-25,7,8,6,2
9,2008-05-26,2,5,3,0
10,2008-05-27,2,4,5,3
11,2008-05-28,3,12,5,2
12,2008-05-29,2,4,3,4
13,2008-05-30,3,6,10,4
14,2008-05-31,4,1,1,0
15,2008-06-01,0,2,2,9
16,2008-06-02,6,6,5,7
17,2008-06-03,4,3,2,7
18,2008-06-04,2,3,4,5
19,2008-06-05,2,4,3,0
20,2008-06-06,3,8,9,7
21,2008-06-07,3,4,4,0
22,2008-06-08,2,4,5,5
23,2008-06-09,4,5,1,1
