,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,0,5,7,8
1,2008-05-18,8,41,8,10
2,2008-05-19,21,20,8,11
3,2008-05-20,8,12,7,21
4,2008-05-21,5,13,3,0
5,2008-05-22,0,19,16,8
6,2008-05-23,7,17,13,11
7,2008-05-24,13,12,7,3
8,2008-05-25,6,5,7,9
9,2008-05-26,6,10,12,0
10,2008-05-27,5,14,13,18
11,2008-05-28,16,8,8,11
12,2008-05-29,13,8,20,9
13,2008-05-30,4,10,19,11
14,2008-05-31,4,5,12,0
15,2008-06-01,0,4,15,17
16,2008-06-02,15,12,15,5
17,2008-06-03,9,7,7,12
18,2008-06-04,13,10,5,11
19,2008-06-05,11,15,10,0
20,2008-06-06,4,7,16,9
21,2008-06-07,15,4,7,10
22,2008-06-08,5,10,7,13
23,2008-06-09,22,3,2,1
