,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,0,2,6,7
1,2008-05-18,8,33,0,7
2,2008-05-19,17,13,6,7
3,2008-05-20,4,7,4,10
4,2008-05-21,2,9,1,0
5,2008-05-22,1,15,10,5
6,2008-05-23,4,9,7,5
7,2008-05-24,8,10,4,4
8,2008-05-25,4,6,3,1
9,2008-05-26,2,4,8,0
10,2008-05-27,4,8,4,11
11,2008-05-28,8,5,4,9
12,2008-05-29,6,7,12,6
13,2008-05-30,3,6,15,9
14,2008-05-31,4,5,8,0
15,2008-06-01,0,1,11,9
16,2008-06-02,13,11,8,3
17,2008-06-03,3,2,7,6
18,2008-06-04,8,4,2,10
19,2008-06-05,7,11,5,0
20,2008-06-06,2,5,12,4
21,2008-06-07,7,3,4,7
22,2008-06-08,4,7,6,9
23,2008-06-09,15,3,1,0
