,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,1,173,142,71
1,2008-05-18,95,238,195,182
2,2008-05-19,110,329,214,121
3,2008-05-20,42,205,204,107
4,2008-05-21,96,181,238,0
5,2008-05-22,4,238,220,109
6,2008-05-23,84,232,213,85
7,2008-05-24,56,97,90,37
8,2008-05-25,39,110,60,38
9,2008-05-26,67,155,107,0
10,2008-05-27,47,279,202,151
11,2008-05-28,71,215,223,88
12,2008-05-29,78,218,199,98
13,2008-05-30,76,208,246,81
14,2008-05-31,60,115,126,1
15,2008-06-01,2,118,154,145
16,2008-06-02,86,322,210,105
17,2008-06-03,69,197,212,124
18,2008-06-04,92,226,241,114
19,2008-06-05,92,325,315,0
20,2008-06-06,49,421,325,100
21,2008-06-07,44,123,119,70
22,2008-06-08,43,178,188,170
23,2008-06-09,100,218,40,27
