,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,0,0,0,1
1,2008-05-18,3,4,3,0
2,2008-05-19,3,1,1,1
3,2008-05-20,0,1,0,2
4,2008-05-21,2,2,1,0
5,2008-05-22,1,4,4,1
6,2008-05-23,1,2,3,3
7,2008-05-24,3,1,1,0
8,2008-05-25,0,3,3,2
9,2008-05-26,2,3,3,0
10,2008-05-27,3,5,2,6
11,2008-05-28,3,2,4,3
12,2008-05-29,3,1,0,2
13,2008-05-30,1,2,2,0
14,2008-05-31,0,1,1,0
15,2008-06-01,0,0,0,1
16,2008-06-02,1,0,1,0
17,2008-06-03,1,1,2,4
18,2008-06-04,2,1,1,1
19,2008-06-05,3,0,0,0
20,2008-06-06,1,2,3,0
21,2008-06-07,5,0,0,1
22,2008-06-08,3,3,0,2
23,2008-06-09,5,2,0,1
