,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,0,5,8,8
1,2008-05-18,9,43,9,14
2,2008-05-19,20,19,8,11
3,2008-05-20,8,13,8,21
4,2008-05-21,5,13,3,0
5,2008-05-22,0,20,16,9
6,2008-05-23,8,19,14,12
7,2008-05-24,12,15,6,3
8,2008-05-25,7,5,9,9
9,2008-05-26,7,11,13,0
10,2008-05-27,5,14,14,21
11,2008-05-28,13,7,8,11
12,2008-05-29,14,9,20,9
13,2008-05-30,5,13,19,11
14,2008-05-31,5,6,11,0
15,2008-06-01,0,4,17,18
16,2008-06-02,14,13,17,4
17,2008-06-03,9,9,8,14
18,2008-06-04,13,11,6,11
19,2008-06-05,13,14,10,0
20,2008-06-06,4,8,17,11
21,2008-06-07,16,4,10,10
22,2008-06-08,9,11,8,13
23,2008-06-09,22,3,3,1
