,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,0,9,14,7
1,2008-05-18,18,13,16,15
2,2008-05-19,32,23,10,14
3,2008-05-20,15,11,14,20
4,2008-05-21,17,23,24,0
5,2008-05-22,1,23,22,23
6,2008-05-23,34,21,21,15
7,2008-05-24,24,14,8,11
8,2008-05-25,9,16,8,8
9,2008-05-26,12,18,14,0
10,2008-05-27,11,32,15,19
11,2008-05-28,31,13,12,15
12,2008-05-29,21,19,11,19
13,2008-05-30,23,15,19,18
14,2008-05-31,19,13,10,0
15,2008-06-01,0,7,17,27
16,2008-06-02,26,26,10,15
17,2008-06-03,20,12,11,28
18,2008-06-04,23,17,14,6
19,2008-06-05,24,18,14,0
20,2008-06-06,13,19,19,10
21,2008-06-07,14,15,7,14
22,2008-06-08,16,13,17,32
23,2008-06-09,29,11,2,6
