,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,0,9,27,9
1,2008-05-18,4,11,8,10
2,2008-05-19,24,15,11,9
3,2008-05-20,4,32,25,11
4,2008-05-21,16,8,11,0
5,2008-05-22,1,22,12,15
6,2008-05-23,6,13,19,11
7,2008-05-24,20,7,3,1
8,2008-05-25,13,5,4,9
9,2008-05-26,2,9,13,0
10,2008-05-27,3,13,8,8
11,2008-05-28,17,10,12,7
12,2008-05-29,11,8,13,5
13,2008-05-30,9,12,8,11
14,2008-05-31,11,6,11,0
15,2008-06-01,0,6,10,11
16,2008-06-02,25,12,10,5
17,2008-06-03,15,15,4,14
18,2008-06-04,6,6,9,10
19,2008-06-05,12,17,12,0
20,2008-06-06,11,13,36,7
21,2008-06-07,12,10,8,6
22,2008-06-08,6,10,7,20
23,2008-06-09,12,10,0,6
