,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,0,29,20,8
1,2008-05-18,31,65,54,45
2,2008-05-19,25,57,32,30
3,2008-05-20,15,33,28,18
4,2008-05-21,14,25,29,0
5,2008-05-22,1,33,25,25
6,2008-05-23,20,40,27,13
7,2008-05-24,11,23,12,10
8,2008-05-25,12,36,13,12
9,2008-05-26,16,39,13,0
10,2008-05-27,11,28,19,25
11,2008-05-28,3,29,25,18
12,2008-05-29,14,25,26,15
13,2008-05-30,12,32,31,20
14,2008-05-31,11,15,21,0
15,2008-06-01,0,29,34,37
16,2008-06-02,13,53,31,32
17,2008-06-03,10,35,28,27
18,2008-06-04,14,31,38,26
19,2008-06-05,26,69,40,1
20,2008-06-06,15,60,38,28
21,2008-06-07,6,33,23,13
22,2008-06-08,19,43,51,46
23,2008-06-09,25,32,9,10
