,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,0,4,5,3
1,2008-05-18,4,8,12,16
2,2008-05-19,21,19,6,3
3,2008-05-20,7,11,7,11
4,2008-05-21,12,8,7,0
5,2008-05-22,0,9,9,16
6,2008-05-23,13,9,9,7
7,2008-05-24,14,8,4,2
8,2008-05-25,6,5,7,7
9,2008-05-26,6,13,16,0
10,2008-05-27,6,7,7,11
11,2008-05-28,7,7,7,2
12,2008-05-29,10,12,10,10
13,2008-05-30,11,6,9,9
14,2008-05-31,2,7,3,0
15,2008-06-01,0,7,10,15
16,2008-06-02,11,14,8,5
17,2008-06-03,8,2,3,9
18,2008-06-04,11,10,9,10
19,2008-06-05,14,10,12,0
20,2008-06-06,7,17,7,10
21,2008-06-07,11,9,6,2
22,2008-06-08,5,14,14,25
23,2008-06-09,20,6,1,1
