,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,0,2,2,3
1,2008-05-18,0,5,0,3
2,2008-05-19,0,1,2,1
3,2008-05-20,0,2,2,4
4,2008-05-21,0,1,3,0
5,2008-05-22,0,5,5,3
6,2008-05-23,0,2,2,1
7,2008-05-24,1,4,1,2
8,2008-05-25,0,1,0,1
9,2008-05-26,0,3,5,0
10,2008-05-27,0,2,0,3
11,2008-05-28,0,1,2,1
12,2008-05-29,0,1,3,5
13,2008-05-30,0,0,1,4
14,2008-05-31,1,1,3,0
15,2008-06-01,0,0,5,2
16,2008-06-02,0,2,2,1
17,2008-06-03,0,1,4,4
18,2008-06-04,0,1,1,3
19,2008-06-05,0,3,5,0
20,2008-06-06,0,2,3,3
21,2008-06-07,2,2,0,2
22,2008-06-08,0,2,1,1
23,2008-06-09,0,0,0,0
