,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,0,1,1,1
1,2008-05-18,4,2,5,3
2,2008-05-19,4,3,0,2
3,2008-05-20,2,2,4,2
4,2008-05-21,2,1,4,0
5,2008-05-22,1,2,4,0
6,2008-05-23,0,1,3,5
7,2008-05-24,2,1,0,0
8,2008-05-25,1,2,1,2
9,2008-05-26,1,1,3,0
10,2008-05-27,1,1,2,2
11,2008-05-28,6,4,5,3
12,2008-05-29,1,2,4,1
13,2008-05-30,2,4,4,0
14,2008-05-31,0,0,0,0
15,2008-06-01,0,1,0,2
16,2008-06-02,3,2,3,1
17,2008-06-03,0,1,2,4
18,2008-06-04,2,0,3,1
19,2008-06-05,4,2,0,0
20,2008-06-06,1,2,5,1
21,2008-06-07,4,0,0,2
22,2008-06-08,4,1,0,2
23,2008-06-09,4,2,0,0
