,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,1,335,249,161
1,2008-05-18,250,423,397,442
2,2008-05-19,399,637,398,326
3,2008-05-20,162,436,358,306
4,2008-05-21,307,371,428,2
5,2008-05-22,6,524,419,358
6,2008-05-23,302,500,380,253
7,2008-05-24,242,265,172,132
8,2008-05-25,182,264,160,165
9,2008-05-26,230,390,304,4
10,2008-05-27,173,556,353,370
11,2008-05-28,236,433,377,232
12,2008-05-29,246,437,377,281
13,2008-05-30,229,454,429,237
14,2008-05-31,199,254,207,2
15,2008-06-01,2,228,308,447
16,2008-06-02,311,618,368,269
17,2008-06-03,250,376,370,362
18,2008-06-04,269,456,411,337
19,2008-06-05,294,609,499,5
20,2008-06-06,171,732,500,268
21,2008-06-07,192,291,226,178
22,2008-06-08,208,432,388,508
23,2008-06-09,386,401,66,67
