,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,0,3,28,6
1,2008-05-18,2,6,4,4
2,2008-05-19,16,3,7,4
3,2008-05-20,0,25,19,7
4,2008-05-21,10,6,4,0
5,2008-05-22,0,14,5,5
6,2008-05-23,3,6,8,6
7,2008-05-24,9,3,2,1
8,2008-05-25,2,3,0,2
9,2008-05-26,1,5,4,0
10,2008-05-27,1,9,4,3
11,2008-05-28,4,7,5,3
12,2008-05-29,2,6,9,1
13,2008-05-30,1,3,4,4
14,2008-05-31,6,2,5,0
15,2008-06-01,0,3,6,5
16,2008-06-02,10,7,3,1
17,2008-06-03,8,10,4,4
18,2008-06-04,1,2,4,6
19,2008-06-05,4,7,8,0
20,2008-06-06,6,7,26,1
21,2008-06-07,3,2,3,2
22,2008-06-08,2,2,4,9
23,2008-06-09,3,5,0,5
