,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,0,3,2,4
1,2008-05-18,10,13,9,2
2,2008-05-19,11,3,6,4
3,2008-05-20,2,2,5,6
4,2008-05-21,5,5,7,0
5,2008-05-22,0,8,4,5
6,2008-05-23,4,9,3,13
7,2008-05-24,5,5,5,6
8,2008-05-25,2,2,6,3
9,2008-05-26,3,5,5,0
10,2008-05-27,5,8,4,5
11,2008-05-28,8,5,3,5
12,2008-05-29,5,7,3,4
13,2008-05-30,3,4,8,3
14,2008-05-31,6,4,2,0
15,2008-06-01,0,1,2,6
16,2008-06-02,11,8,5,4
17,2008-06-03,5,5,4,5
18,2008-06-04,4,4,2,7
19,2008-06-05,4,8,2,1
20,2008-06-06,6,6,6,4
21,2008-06-07,6,4,2,3
22,2008-06-08,2,3,3,7
23,2008-06-09,12,5,0,1
