,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,0,8,27,7
1,2008-05-18,4,11,8,7
2,2008-05-19,21,12,9,6
3,2008-05-20,3,28,23,10
4,2008-05-21,14,6,9,0
5,2008-05-22,1,19,9,12
6,2008-05-23,3,10,18,9
7,2008-05-24,14,7,2,1
8,2008-05-25,11,5,4,7
9,2008-05-26,2,7,12,0
10,2008-05-27,3,12,6,6
11,2008-05-28,12,9,11,6
12,2008-05-29,7,6,13,5
13,2008-05-30,8,10,6,9
14,2008-05-31,9,4,10,0
15,2008-06-01,0,6,8,9
16,2008-06-02,20,12,8,4
17,2008-06-03,13,14,4,12
18,2008-06-04,5,5,7,9
19,2008-06-05,11,15,10,0
20,2008-06-06,10,12,33,5
21,2008-06-07,10,10,7,5
22,2008-06-08,5,10,5,17
23,2008-06-09,11,8,0,6
