,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,0,4,3,6
1,2008-05-18,2,13,9,10
2,2008-05-19,15,6,9,7
3,2008-05-20,9,3,2,5
4,2008-05-21,15,1,6,0
5,2008-05-22,0,7,5,8
6,2008-05-23,10,7,11,5
7,2008-05-24,9,6,2,3
8,2008-05-25,3,4,12,8
9,2008-05-26,4,4,15,1
10,2008-05-27,1,11,8,5
11,2008-05-28,7,4,9,5
12,2008-05-29,5,7,9,10
13,2008-05-30,10,9,5,5
14,2008-05-31,2,8,4,0
15,2008-06-01,0,3,5,10
16,2008-06-02,11,8,6,2
17,2008-06-03,8,7,3,5
18,2008-06-04,7,8,2,14
19,2008-06-05,6,7,10,0
20,2008-06-06,5,9,8,6
21,2008-06-07,5,7,10,4
22,2008-06-08,4,16,12,13
23,2008-06-09,15,5,1,0
