,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,0,4,0,0
1,2008-05-18,2,3,1,1
2,2008-05-19,3,5,1,2
3,2008-05-20,0,1,1,2
4,2008-05-21,0,0,4,0
5,2008-05-22,0,4,2,2
6,2008-05-23,2,2,3,2
7,2008-05-24,4,2,0,0
8,2008-05-25,1,1,0,1
9,2008-05-26,2,0,4,0
10,2008-05-27,1,0,0,2
11,2008-05-28,5,2,3,3
12,2008-05-29,3,2,6,2
13,2008-05-30,3,2,1,1
14,2008-05-31,1,1,1,0
15,2008-06-01,0,0,1,3
16,2008-06-02,3,1,4,1
17,2008-06-03,1,0,0,4
18,2008-06-04,2,0,2,1
19,2008-06-05,2,3,3,0
20,2008-06-06,6,1,4,3
21,2008-06-07,2,2,1,0
22,2008-06-08,2,2,2,3
23,2008-06-09,4,2,1,0
