,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,0,4,1,0
1,2008-05-18,2,4,5,0
2,2008-05-19,5,2,3,2
3,2008-05-20,1,2,2,2
4,2008-05-21,6,0,0,0
5,2008-05-22,0,5,4,2
6,2008-05-23,3,1,5,5
7,2008-05-24,1,2,0,0
8,2008-05-25,1,2,0,3
9,2008-05-26,2,1,3,0
10,2008-05-27,4,1,1,6
11,2008-05-28,5,5,2,3
12,2008-05-29,3,1,5,1
13,2008-05-30,1,2,0,0
14,2008-05-31,2,0,2,0
15,2008-06-01,1,1,3,3
16,2008-06-02,5,2,1,1
17,2008-06-03,0,3,0,4
18,2008-06-04,3,3,4,3
19,2008-06-05,2,4,3,0
20,2008-06-06,1,0,5,3
21,2008-06-07,2,0,1,1
22,2008-06-08,3,1,0,1
23,2008-06-09,5,1,1,0
