,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,1,39,23,15
1,2008-05-18,54,120,33,38
2,2008-05-19,46,163,85,34
3,2008-05-20,15,92,78,37
4,2008-05-21,30,77,98,0
5,2008-05-22,1,126,87,33
6,2008-05-23,29,116,67,21
7,2008-05-24,20,25,24,8
8,2008-05-25,12,35,18,10
9,2008-05-26,33,53,32,0
10,2008-05-27,23,149,60,47
11,2008-05-28,24,97,93,36
12,2008-05-29,36,88,89,40
13,2008-05-30,31,97,88,23
14,2008-05-31,29,48,24,0
15,2008-06-01,0,28,39,47
16,2008-06-02,34,123,52,27
17,2008-06-03,27,96,95,38
18,2008-06-04,40,103,76,35
19,2008-06-05,38,127,99,0
20,2008-06-06,26,151,97,33
21,2008-06-07,19,36,30,17
22,2008-06-08,17,58,37,45
23,2008-06-09,37,78,12,10
