,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,1,28,23,23
1,2008-05-18,49,103,41,59
2,2008-05-19,41,128,71,36
3,2008-05-20,20,67,55,47
4,2008-05-21,25,61,93,0
5,2008-05-22,2,92,72,36
6,2008-05-23,31,85,60,37
7,2008-05-24,17,22,30,13
8,2008-05-25,12,36,23,21
9,2008-05-26,31,50,33,1
10,2008-05-27,20,121,41,46
11,2008-05-28,34,75,75,38
12,2008-05-29,30,75,75,44
13,2008-05-30,29,69,73,25
14,2008-05-31,29,40,24,0
15,2008-06-01,0,34,35,46
16,2008-06-02,36,112,46,31
17,2008-06-03,27,80,69,46
18,2008-06-04,38,67,62,37
19,2008-06-05,41,94,84,0
20,2008-06-06,20,125,81,43
21,2008-06-07,19,35,28,23
22,2008-06-08,16,51,39,66
23,2008-06-09,38,68,8,8
