,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,0,37,32,38
1,2008-05-18,59,48,84,106
2,2008-05-19,150,106,61,85
3,2008-05-20,58,63,45,77
4,2008-05-21,79,39,67,0
5,2008-05-22,0,72,64,116
6,2008-05-23,100,71,66,75
7,2008-05-24,73,67,38,31
8,2008-05-25,54,39,44,53
9,2008-05-26,53,72,90,1
10,2008-05-27,51,90,57,72
11,2008-05-28,78,58,41,51
12,2008-05-29,73,68,61,72
13,2008-05-30,58,66,56,54
14,2008-05-31,51,44,25,0
15,2008-06-01,0,41,58,124
16,2008-06-02,104,83,51,49
17,2008-06-03,72,55,46,66
18,2008-06-04,76,56,48,88
19,2008-06-05,81,63,59,1
20,2008-06-06,44,92,72,68
21,2008-06-07,57,49,45,43
22,2008-06-08,67,93,74,123
23,2008-06-09,134,50,5,8
