,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,0,0,0,1
1,2008-05-18,1,3,5,7
2,2008-05-19,2,3,1,1
3,2008-05-20,2,1,2,1
4,2008-05-21,1,0,0,0
5,2008-05-22,0,6,0,4
6,2008-05-23,3,0,1,0
7,2008-05-24,3,5,4,0
8,2008-05-25,7,3,1,1
9,2008-05-26,1,2,1,0
10,2008-05-27,2,2,3,1
11,2008-05-28,3,7,4,1
12,2008-05-29,3,2,1,1
13,2008-05-30,2,2,6,1
14,2008-05-31,1,0,0,0
15,2008-06-01,0,0,1,1
16,2008-06-02,5,3,3,3
17,2008-06-03,2,1,0,4
18,2008-06-04,2,2,2,4
19,2008-06-05,1,2,3,0
20,2008-06-06,1,1,2,4
21,2008-06-07,2,2,1,0
22,2008-06-08,1,1,3,1
23,2008-06-09,2,3,0,0
