,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,0,9,24,6
1,2008-05-18,2,11,6,8
2,2008-05-19,18,16,10,9
3,2008-05-20,4,30,25,7
4,2008-05-21,15,6,11,0
5,2008-05-22,1,19,13,15
6,2008-05-23,6,13,15,10
7,2008-05-24,20,5,1,1
8,2008-05-25,12,4,4,8
9,2008-05-26,2,9,10,0
10,2008-05-27,3,8,8,8
11,2008-05-28,18,7,11,6
12,2008-05-29,12,9,9,6
13,2008-05-30,9,11,9,10
14,2008-05-31,8,5,9,0
15,2008-06-01,0,5,10,13
16,2008-06-02,19,12,8,5
17,2008-06-03,10,12,4,13
18,2008-06-04,8,6,11,9
19,2008-06-05,8,17,13,0
20,2008-06-06,5,14,29,10
21,2008-06-07,13,10,7,5
22,2008-06-08,5,11,6,18
23,2008-06-09,11,11,0,3
