,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,0,6,4,6
1,2008-05-18,5,12,14,10
2,2008-05-19,27,16,5,3
3,2008-05-20,6,6,3,11
4,2008-05-21,13,2,10,0
5,2008-05-22,0,7,8,15
6,2008-05-23,10,7,11,3
7,2008-05-24,9,6,4,4
8,2008-05-25,6,3,6,7
9,2008-05-26,7,9,15,1
10,2008-05-27,6,10,6,9
11,2008-05-28,7,4,8,7
12,2008-05-29,6,8,7,9
13,2008-05-30,10,11,8,3
14,2008-05-31,6,7,2,0
15,2008-06-01,0,5,10,13
16,2008-06-02,14,13,7,2
17,2008-06-03,10,9,9,7
18,2008-06-04,11,11,6,10
19,2008-06-05,11,8,8,0
20,2008-06-06,8,15,11,7
21,2008-06-07,10,9,5,5
22,2008-06-08,2,16,13,15
23,2008-06-09,26,3,0,0
