,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,0,0,0,1
1,2008-05-18,3,8,0,0
2,2008-05-19,7,0,0,0
3,2008-05-20,0,2,0,1
4,2008-05-21,1,0,1,0
5,2008-05-22,0,1,1,0
6,2008-05-23,0,2,1,0
7,2008-05-24,0,4,1,1
8,2008-05-25,0,2,4,0
9,2008-05-26,1,2,1,0
10,2008-05-27,0,4,0,0
11,2008-05-28,1,0,0,0
12,2008-05-29,1,3,1,0
13,2008-05-30,0,1,1,2
14,2008-05-31,0,0,1,0
15,2008-06-01,0,0,4,1
16,2008-06-02,2,2,1,0
17,2008-06-03,0,0,0,0
18,2008-06-04,1,0,0,0
19,2008-06-05,0,0,1,0
20,2008-06-06,2,0,2,0
21,2008-06-07,1,2,1,0
22,2008-06-08,0,0,1,1
23,2008-06-09,1,1,1,0
