,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,0,8,9,9
1,2008-05-18,13,48,16,23
2,2008-05-19,30,23,12,12
3,2008-05-20,14,15,10,23
4,2008-05-21,16,15,4,0
5,2008-05-22,0,29,19,15
6,2008-05-23,15,21,21,16
7,2008-05-24,18,23,9,3
8,2008-05-25,16,16,10,12
9,2008-05-26,12,18,14,0
10,2008-05-27,10,18,18,21
11,2008-05-28,21,19,13,13
12,2008-05-29,20,13,23,10
13,2008-05-30,10,17,27,14
14,2008-05-31,7,6,11,0
15,2008-06-01,1,5,20,23
16,2008-06-02,27,17,19,9
17,2008-06-03,15,12,9,19
18,2008-06-04,19,16,9,19
19,2008-06-05,16,19,14,0
20,2008-06-06,8,13,27,15
21,2008-06-07,22,11,12,11
22,2008-06-08,15,14,12,16
23,2008-06-09,29,7,3,1
