,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,0,2,2,8
1,2008-05-18,0,8,8,18
2,2008-05-19,3,7,12,9
3,2008-05-20,0,3,4,15
4,2008-05-21,0,6,6,0
5,2008-05-22,0,6,2,7
6,2008-05-23,2,1,2,14
7,2008-05-24,0,2,7,8
8,2008-05-25,1,6,7,10
9,2008-05-26,1,4,6,1
10,2008-05-27,0,10,1,7
11,2008-05-28,2,5,4,9
12,2008-05-29,0,4,2,14
13,2008-05-30,0,3,9,8
14,2008-05-31,1,5,7,0
15,2008-06-01,0,6,5,14
16,2008-06-02,1,10,4,16
17,2008-06-03,0,6,8,19
18,2008-06-04,0,4,5,11
19,2008-06-05,1,7,3,0
20,2008-06-06,0,11,6,8
21,2008-06-07,1,2,0,4
22,2008-06-08,0,4,9,21
23,2008-06-09,1,5,0,1
