,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,0,1,1,1
1,2008-05-18,2,2,6,10
2,2008-05-19,2,3,2,1
3,2008-05-20,3,2,3,2
4,2008-05-21,2,0,0,0
5,2008-05-22,0,7,0,5
6,2008-05-23,3,1,3,0
7,2008-05-24,2,7,4,0
8,2008-05-25,6,3,1,1
9,2008-05-26,1,2,1,0
10,2008-05-27,2,2,2,1
11,2008-05-28,3,7,4,1
12,2008-05-29,3,3,1,1
13,2008-05-30,3,2,6,1
14,2008-05-31,2,0,0,0
15,2008-06-01,0,0,1,2
16,2008-06-02,5,3,2,2
17,2008-06-03,2,1,0,4
18,2008-06-04,1,2,2,4
19,2008-06-05,1,1,3,0
20,2008-06-06,1,3,2,4
21,2008-06-07,2,4,2,0
22,2008-06-08,2,1,4,1
23,2008-06-09,2,2,0,0
