,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,0,1,3,3
1,2008-05-18,1,8,4,3
2,2008-05-19,6,5,2,3
3,2008-05-20,1,3,5,4
4,2008-05-21,5,2,7,0
5,2008-05-22,0,3,4,7
6,2008-05-23,7,3,9,3
7,2008-05-24,7,4,2,2
8,2008-05-25,4,1,6,7
9,2008-05-26,5,3,7,0
10,2008-05-27,3,4,3,2
11,2008-05-28,3,4,5,3
12,2008-05-29,1,5,4,4
13,2008-05-30,4,5,4,2
14,2008-05-31,2,3,2,0
15,2008-06-01,0,1,5,5
16,2008-06-02,7,4,4,1
17,2008-06-03,2,4,5,1
18,2008-06-04,4,2,1,6
19,2008-06-05,5,4,4,0
20,2008-06-06,2,6,3,6
21,2008-06-07,5,3,5,3
22,2008-06-08,4,5,8,2
23,2008-06-09,10,0,0,0
