,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,0,3,1,0
1,2008-05-18,1,6,4,1
2,2008-05-19,3,6,3,1
3,2008-05-20,2,1,4,4
4,2008-05-21,4,1,4,0
5,2008-05-22,0,4,2,5
6,2008-05-23,4,1,3,0
7,2008-05-24,2,2,0,2
8,2008-05-25,2,2,1,1
9,2008-05-26,0,1,6,0
10,2008-05-27,1,6,4,4
11,2008-05-28,4,1,4,2
12,2008-05-29,4,1,6,4
13,2008-05-30,3,3,3,1
14,2008-05-31,6,1,0,0
15,2008-06-01,0,3,2,4
16,2008-06-02,6,2,5,1
17,2008-06-03,3,4,2,2
18,2008-06-04,2,2,2,1
19,2008-06-05,1,2,6,0
20,2008-06-06,6,3,7,5
21,2008-06-07,1,7,2,2
22,2008-06-08,0,3,4,6
23,2008-06-09,6,4,1,1
