,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,0,10,5,6
1,2008-05-18,13,23,13,6
2,2008-05-19,18,13,11,11
3,2008-05-20,5,6,5,13
4,2008-05-21,5,5,9,0
5,2008-05-22,0,10,5,18
6,2008-05-23,8,11,6,14
7,2008-05-24,13,8,4,6
8,2008-05-25,7,4,8,2
9,2008-05-26,5,8,5,0
10,2008-05-27,5,11,6,6
11,2008-05-28,6,7,5,12
12,2008-05-29,9,11,5,6
13,2008-05-30,11,9,5,7
14,2008-05-31,9,6,3,0
15,2008-06-01,0,3,5,12
16,2008-06-02,17,13,6,9
17,2008-06-03,8,12,2,3
18,2008-06-04,5,8,3,13
19,2008-06-05,6,6,9,1
20,2008-06-06,5,9,9,6
21,2008-06-07,6,7,7,7
22,2008-06-08,5,5,5,13
23,2008-06-09,15,7,1,1
