,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,1,13,11,5
1,2008-05-18,12,25,13,10
2,2008-05-19,9,24,14,14
3,2008-05-20,8,16,7,8
4,2008-05-21,13,9,14,0
5,2008-05-22,0,18,17,15
6,2008-05-23,6,12,12,10
7,2008-05-24,7,15,12,4
8,2008-05-25,5,15,2,5
9,2008-05-26,17,19,14,0
10,2008-05-27,4,29,9,13
11,2008-05-28,12,16,14,7
12,2008-05-29,12,14,10,6
13,2008-05-30,8,12,8,5
14,2008-05-31,12,14,8,0
15,2008-06-01,0,10,14,4
16,2008-06-02,7,21,13,8
17,2008-06-03,8,19,11,9
18,2008-06-04,9,14,16,11
19,2008-06-05,14,18,20,0
20,2008-06-06,6,30,24,17
21,2008-06-07,10,18,13,8
22,2008-06-08,7,13,24,20
23,2008-06-09,8,15,2,4
