,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,0,2,6,8
1,2008-05-18,8,38,4,10
2,2008-05-19,20,17,7,9
3,2008-05-20,7,8,4,18
4,2008-05-21,5,10,1,0
5,2008-05-22,0,17,12,7
6,2008-05-23,7,15,7,7
7,2008-05-24,12,12,5,4
8,2008-05-25,5,5,4,6
9,2008-05-26,6,6,10,0
10,2008-05-27,5,10,11,13
11,2008-05-28,13,6,7,9
12,2008-05-29,13,8,14,9
13,2008-05-30,4,6,18,9
14,2008-05-31,4,5,10,0
15,2008-06-01,0,3,12,15
16,2008-06-02,14,11,13,3
17,2008-06-03,8,5,7,7
18,2008-06-04,13,8,3,10
19,2008-06-05,11,13,7,0
20,2008-06-06,4,7,13,5
21,2008-06-07,15,4,5,8
22,2008-06-08,4,10,7,12
23,2008-06-09,23,3,1,1
