,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,0,34,24,33
1,2008-05-18,58,44,68,86
2,2008-05-19,152,96,57,69
3,2008-05-20,59,63,33,58
4,2008-05-21,83,37,49,0
5,2008-05-22,0,68,44,86
6,2008-05-23,101,65,48,66
7,2008-05-24,74,55,29,31
8,2008-05-25,60,35,36,49
9,2008-05-26,61,70,76,1
10,2008-05-27,52,77,49,60
11,2008-05-28,77,56,36,44
12,2008-05-29,70,64,50,57
13,2008-05-30,58,51,43,44
14,2008-05-31,58,39,23,0
15,2008-06-01,0,37,46,92
16,2008-06-02,108,78,40,39
17,2008-06-03,72,55,37,48
18,2008-06-04,75,50,38,70
19,2008-06-05,85,52,43,1
20,2008-06-06,45,80,41,54
21,2008-06-07,53,49,37,34
22,2008-06-08,69,80,58,103
23,2008-06-09,142,44,4,8
