,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,0,3,2,1
1,2008-05-18,1,0,3,2
2,2008-05-19,6,2,2,3
3,2008-05-20,0,0,2,2
4,2008-05-21,1,1,1,0
5,2008-05-22,0,3,3,5
6,2008-05-23,2,1,2,6
7,2008-05-24,2,1,0,2
8,2008-05-25,1,1,2,0
9,2008-05-26,0,3,0,0
10,2008-05-27,2,2,2,1
11,2008-05-28,0,1,1,1
12,2008-05-29,1,3,1,1
13,2008-05-30,1,2,4,0
14,2008-05-31,1,0,1,0
15,2008-06-01,0,1,1,2
16,2008-06-02,7,4,1,2
17,2008-06-03,5,2,0,1
18,2008-06-04,3,3,2,4
19,2008-06-05,1,4,2,0
20,2008-06-06,2,2,5,2
21,2008-06-07,0,2,3,0
22,2008-06-08,3,1,1,3
23,2008-06-09,6,2,1,0
