,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,0,1,3,2
1,2008-05-18,3,7,0,2
2,2008-05-19,6,6,1,1
3,2008-05-20,1,2,0,4
4,2008-05-21,1,5,1,0
5,2008-05-22,0,8,3,0
6,2008-05-23,4,5,2,3
7,2008-05-24,2,1,1,0
8,2008-05-25,2,1,0,0
9,2008-05-26,1,0,0,0
10,2008-05-27,2,1,3,2
11,2008-05-28,4,2,1,3
12,2008-05-29,1,4,3,3
13,2008-05-30,1,2,10,5
14,2008-05-31,3,0,3,0
15,2008-06-01,0,1,3,4
16,2008-06-02,5,3,3,2
17,2008-06-03,2,2,1,0
18,2008-06-04,3,1,2,4
19,2008-06-05,1,3,0,0
20,2008-06-06,0,2,2,0
21,2008-06-07,2,1,1,4
22,2008-06-08,3,2,4,7
23,2008-06-09,10,2,0,0
