,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,0,7,5,7
1,2008-05-18,2,20,6,11
2,2008-05-19,17,12,8,17
3,2008-05-20,13,11,7,9
4,2008-05-21,23,6,15,0
5,2008-05-22,0,8,10,18
6,2008-05-23,13,21,7,12
7,2008-05-24,10,10,4,5
8,2008-05-25,11,4,3,10
9,2008-05-26,13,9,15,0
10,2008-05-27,11,13,8,16
11,2008-05-28,16,6,8,6
12,2008-05-29,14,12,17,11
13,2008-05-30,9,11,11,14
14,2008-05-31,11,8,4,0
15,2008-06-01,0,9,5,18
16,2008-06-02,19,12,4,10
17,2008-06-03,9,8,9,5
18,2008-06-04,10,7,5,8
19,2008-06-05,18,14,8,0
20,2008-06-06,6,14,9,9
21,2008-06-07,3,8,4,5
22,2008-06-08,6,16,9,13
23,2008-06-09,25,11,2,1
