,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,0,136,83,43
1,2008-05-18,90,131,103,80
2,2008-05-19,64,138,93,73
3,2008-05-20,30,89,78,53
4,2008-05-21,57,92,79,0
5,2008-05-22,1,114,86,62
6,2008-05-23,57,112,98,47
7,2008-05-24,42,73,48,28
8,2008-05-25,46,81,46,20
9,2008-05-26,70,111,59,0
10,2008-05-27,20,86,91,83
11,2008-05-28,23,102,86,35
12,2008-05-29,50,100,65,50
13,2008-05-30,48,111,93,43
14,2008-05-31,39,77,60,0
15,2008-06-01,2,61,84,92
16,2008-06-02,31,136,93,51
17,2008-06-03,39,69,77,65
18,2008-06-04,52,111,92,71
19,2008-06-05,61,197,130,3
20,2008-06-06,42,229,134,61
21,2008-06-07,33,80,70,43
22,2008-06-08,49,118,104,89
23,2008-06-09,58,90,18,14
