,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,0,2,4,7
1,2008-05-18,2,3,6,6
2,2008-05-19,4,5,3,1
3,2008-05-20,1,3,6,2
4,2008-05-21,2,3,4,0
5,2008-05-22,0,4,3,6
6,2008-05-23,4,2,3,9
7,2008-05-24,1,1,0,2
8,2008-05-25,6,0,2,2
9,2008-05-26,1,1,3,0
10,2008-05-27,2,1,1,5
11,2008-05-28,2,2,0,4
12,2008-05-29,2,2,3,2
13,2008-05-30,2,1,4,7
14,2008-05-31,2,0,3,0
15,2008-06-01,0,0,3,4
16,2008-06-02,0,1,5,2
17,2008-06-03,3,2,2,4
18,2008-06-04,0,4,4,9
19,2008-06-05,1,5,2,0
20,2008-06-06,1,7,3,1
21,2008-06-07,2,2,1,4
22,2008-06-08,2,0,2,10
23,2008-06-09,2,3,0,0
