,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,0,2,5,2
1,2008-05-18,7,8,10,7
2,2008-05-19,16,13,5,5
3,2008-05-20,6,7,6,11
4,2008-05-21,6,7,13,0
5,2008-05-22,0,13,10,15
6,2008-05-23,16,10,10,5
7,2008-05-24,7,6,4,3
8,2008-05-25,5,4,2,4
9,2008-05-26,3,12,5,0
10,2008-05-27,5,17,11,7
11,2008-05-28,20,6,6,8
12,2008-05-29,8,10,5,5
13,2008-05-30,13,6,11,7
14,2008-05-31,8,3,6,0
15,2008-06-01,0,3,9,16
16,2008-06-02,13,17,3,8
17,2008-06-03,9,8,1,13
18,2008-06-04,8,7,12,5
19,2008-06-05,10,8,8,0
20,2008-06-06,4,9,8,3
21,2008-06-07,7,11,4,5
22,2008-06-08,7,9,9,18
23,2008-06-09,11,6,0,3
