,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,0,2,1,0
1,2008-05-18,2,1,6,1
2,2008-05-19,2,2,0,2
3,2008-05-20,1,1,1,1
4,2008-05-21,5,0,3,0
5,2008-05-22,0,2,4,0
6,2008-05-23,1,0,5,5
7,2008-05-24,2,2,0,0
8,2008-05-25,1,3,0,2
9,2008-05-26,1,1,3,0
10,2008-05-27,1,1,1,1
11,2008-05-28,6,4,4,2
12,2008-05-29,1,0,4,1
13,2008-05-30,1,1,2,0
14,2008-05-31,0,0,0,0
15,2008-06-01,0,0,1,1
16,2008-06-02,3,0,1,1
17,2008-06-03,0,2,0,4
18,2008-06-04,3,0,1,1
19,2008-06-05,3,1,0,0
20,2008-06-06,1,0,3,2
21,2008-06-07,3,0,0,1
22,2008-06-08,3,0,0,1
23,2008-06-09,3,1,0,0
