,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,1,28,12,9
1,2008-05-18,33,54,27,27
2,2008-05-19,24,74,36,19
3,2008-05-20,10,44,34,17
4,2008-05-21,23,21,33,0
5,2008-05-22,0,48,30,11
6,2008-05-23,15,42,24,8
7,2008-05-24,15,11,11,7
8,2008-05-25,10,25,6,6
9,2008-05-26,27,28,16,0
10,2008-05-27,10,38,22,20
11,2008-05-28,18,28,22,15
12,2008-05-29,20,42,34,12
13,2008-05-30,17,44,32,8
14,2008-05-31,22,22,7,0
15,2008-06-01,0,21,20,20
16,2008-06-02,14,51,25,16
17,2008-06-03,15,48,35,15
18,2008-06-04,24,37,25,21
19,2008-06-05,24,52,28,0
20,2008-06-06,20,48,34,13
21,2008-06-07,14,19,9,8
22,2008-06-08,12,33,27,18
23,2008-06-09,35,33,3,6
