,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,0,141,96,81
1,2008-05-18,127,171,170,245
2,2008-05-19,238,268,170,186
3,2008-05-20,97,206,127,172
4,2008-05-21,178,152,152,2
5,2008-05-22,2,242,169,210
6,2008-05-23,171,232,128,151
7,2008-05-24,137,144,73,75
8,2008-05-25,111,134,85,113
9,2008-05-26,147,203,169,3
10,2008-05-27,98,233,127,201
11,2008-05-28,111,197,131,121
12,2008-05-29,132,184,162,164
13,2008-05-30,121,212,158,130
14,2008-05-31,106,128,63,1
15,2008-06-01,0,99,130,258
16,2008-06-02,174,261,139,140
17,2008-06-03,143,159,145,192
18,2008-06-04,146,207,149,202
19,2008-06-05,165,251,159,6
20,2008-06-06,96,281,147,149
21,2008-06-07,114,144,96,91
22,2008-06-08,133,230,172,284
23,2008-06-09,234,162,22,32
