,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,1,356,293,184
1,2008-05-18,260,503,439,509
2,2008-05-19,445,702,428,368
3,2008-05-20,178,484,392,344
4,2008-05-21,328,417,465,2
5,2008-05-22,6,571,476,402
6,2008-05-23,323,533,422,302
7,2008-05-24,265,310,194,155
8,2008-05-25,201,297,195,202
9,2008-05-26,249,433,360,3
10,2008-05-27,196,624,396,414
11,2008-05-28,273,478,423,258
12,2008-05-29,275,470,428,323
13,2008-05-30,250,505,486,277
14,2008-05-31,213,278,242,2
15,2008-06-01,3,266,351,509
16,2008-06-02,354,688,429,293
17,2008-06-03,275,408,414,413
18,2008-06-04,291,497,452,384
19,2008-06-05,318,660,551,7
20,2008-06-06,188,781,554,298
21,2008-06-07,216,322,255,215
22,2008-06-08,224,471,434,583
23,2008-06-09,435,445,78,77
