,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,0,133,94,34
1,2008-05-18,81,130,78,67
2,2008-05-19,72,171,109,63
3,2008-05-20,30,142,106,52
4,2008-05-21,102,121,107,2
5,2008-05-22,2,183,110,48
6,2008-05-23,66,179,91,35
7,2008-05-24,46,65,33,25
8,2008-05-25,37,77,34,21
9,2008-05-26,75,115,57,0
10,2008-05-27,34,148,83,81
11,2008-05-28,22,115,106,46
12,2008-05-29,46,122,123,59
13,2008-05-30,61,167,140,51
14,2008-05-31,34,80,57,1
15,2008-06-01,0,57,76,71
16,2008-06-02,53,176,104,44
17,2008-06-03,72,120,121,72
18,2008-06-04,62,148,128,74
19,2008-06-05,69,195,149,2
20,2008-06-06,50,213,134,41
21,2008-06-07,45,96,52,24
22,2008-06-08,60,120,100,75
23,2008-06-09,71,125,34,10
