,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,0,1,3,5
1,2008-05-18,0,0,1,3
2,2008-05-19,2,2,2,1
3,2008-05-20,0,2,3,2
4,2008-05-21,3,1,0,0
5,2008-05-22,0,2,1,2
6,2008-05-23,0,0,1,2
7,2008-05-24,1,0,0,1
8,2008-05-25,3,0,1,2
9,2008-05-26,1,1,2,0
10,2008-05-27,2,0,1,1
11,2008-05-28,0,1,0,1
12,2008-05-29,1,0,2,1
13,2008-05-30,0,0,1,4
14,2008-05-31,1,0,1,0
15,2008-06-01,0,0,0,3
16,2008-06-02,0,0,2,2
17,2008-06-03,0,1,0,1
18,2008-06-04,0,2,2,3
19,2008-06-05,0,2,1,0
20,2008-06-06,0,4,2,0
21,2008-06-07,1,2,0,3
22,2008-06-08,1,0,2,4
23,2008-06-09,2,2,0,0
