,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,0,113,113,49
1,2008-05-18,6,141,140,160
2,2008-05-19,22,223,150,105
3,2008-05-20,3,140,124,93
4,2008-05-21,10,110,141,0
5,2008-05-22,0,149,138,88
6,2008-05-23,9,126,129,70
7,2008-05-24,1,65,74,30
8,2008-05-25,3,61,44,30
9,2008-05-26,3,75,88,0
10,2008-05-27,21,220,158,139
11,2008-05-28,20,145,142,75
12,2008-05-29,10,139,107,80
13,2008-05-30,10,121,166,56
14,2008-05-31,3,61,117,1
15,2008-06-01,0,82,129,135
16,2008-06-02,20,242,164,91
17,2008-06-03,13,122,145,112
18,2008-06-04,16,151,158,99
19,2008-06-05,11,225,221,0
20,2008-06-06,6,330,242,88
21,2008-06-07,8,90,97,56
22,2008-06-08,2,117,149,152
23,2008-06-09,34,151,24,21
