,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,0,3,1,2
1,2008-05-18,1,2,4,4
2,2008-05-19,9,2,1,3
3,2008-05-20,2,12,9,2
4,2008-05-21,4,2,2,0
5,2008-05-22,0,10,2,5
6,2008-05-23,3,7,8,7
7,2008-05-24,6,0,0,7
8,2008-05-25,0,3,1,3
9,2008-05-26,0,3,2,0
10,2008-05-27,3,6,0,5
11,2008-05-28,7,3,1,1
12,2008-05-29,1,6,3,4
13,2008-05-30,1,3,4,4
14,2008-05-31,3,1,1,0
15,2008-06-01,0,1,2,4
16,2008-06-02,3,5,2,1
17,2008-06-03,1,2,1,2
18,2008-06-04,2,3,2,4
19,2008-06-05,3,2,2,0
20,2008-06-06,2,4,5,4
21,2008-06-07,7,3,1,0
22,2008-06-08,4,3,2,4
23,2008-06-09,2,2,0,1
