,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,0,29,20,18
1,2008-05-18,22,56,44,57
2,2008-05-19,29,39,35,37
3,2008-05-20,11,37,30,19
4,2008-05-21,15,33,34,0
5,2008-05-22,1,29,44,28
6,2008-05-23,17,29,38,11
7,2008-05-24,10,24,9,9
8,2008-05-25,14,27,18,17
9,2008-05-26,19,42,33,1
10,2008-05-27,11,16,25,22
11,2008-05-28,18,32,28,19
12,2008-05-29,25,30,27,32
13,2008-05-30,17,34,43,19
14,2008-05-31,15,21,24,0
15,2008-06-01,0,25,38,49
16,2008-06-02,27,58,35,24
17,2008-06-03,13,19,33,36
18,2008-06-04,21,37,37,33
19,2008-06-05,32,56,37,1
20,2008-06-06,15,70,48,31
21,2008-06-07,20,29,26,21
22,2008-06-08,14,37,51,53
23,2008-06-09,31,30,6,10
