,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,0,151,106,88
1,2008-05-18,150,181,193,262
2,2008-05-19,270,298,180,204
3,2008-05-20,115,220,143,195
4,2008-05-21,200,182,184,2
5,2008-05-22,2,275,197,235
6,2008-05-23,208,255,153,163
7,2008-05-24,162,163,83,89
8,2008-05-25,129,154,97,122
9,2008-05-26,161,224,186,3
10,2008-05-27,117,265,144,218
11,2008-05-28,146,215,144,140
12,2008-05-29,157,208,174,181
13,2008-05-30,143,230,180,149
14,2008-05-31,125,140,76,1
15,2008-06-01,0,109,147,293
16,2008-06-02,204,291,153,163
17,2008-06-03,168,173,162,221
18,2008-06-04,168,225,162,214
19,2008-06-05,187,272,177,5
20,2008-06-06,111,304,169,161
21,2008-06-07,132,162,103,106
22,2008-06-08,156,246,192,319
23,2008-06-09,275,178,25,40
