,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,0,138,94,80
1,2008-05-18,128,165,164,245
2,2008-05-19,232,269,165,185
3,2008-05-20,98,203,125,169
4,2008-05-21,179,149,149,2
5,2008-05-22,3,238,166,211
6,2008-05-23,166,228,129,150
7,2008-05-24,133,143,73,72
8,2008-05-25,111,129,86,111
9,2008-05-26,145,201,166,3
10,2008-05-27,97,229,127,198
11,2008-05-28,112,194,128,120
12,2008-05-29,129,182,160,160
13,2008-05-30,116,210,159,129
14,2008-05-31,102,124,64,1
15,2008-06-01,0,96,126,256
16,2008-06-02,170,257,139,139
17,2008-06-03,145,154,140,188
18,2008-06-04,146,206,146,201
19,2008-06-05,160,247,156,6
20,2008-06-06,94,282,148,146
21,2008-06-07,112,141,93,90
22,2008-06-08,130,229,169,280
23,2008-06-09,229,163,23,31
