,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,0,14,39,19
1,2008-05-18,15,56,24,43
2,2008-05-19,45,27,25,25
3,2008-05-20,15,39,32,31
4,2008-05-21,24,20,15,0
5,2008-05-22,1,43,31,21
6,2008-05-23,19,26,31,26
7,2008-05-24,27,27,16,10
8,2008-05-25,17,21,14,17
9,2008-05-26,17,27,23,0
10,2008-05-27,11,31,25,29
11,2008-05-28,30,37,19,18
12,2008-05-29,22,21,35,15
13,2008-05-30,13,26,39,22
14,2008-05-31,13,10,19,0
15,2008-06-01,1,12,29,40
16,2008-06-02,36,33,31,13
17,2008-06-03,25,27,20,24
18,2008-06-04,22,20,19,27
19,2008-06-05,22,27,24,0
20,2008-06-06,15,28,59,20
21,2008-06-07,23,13,18,20
22,2008-06-08,17,22,22,29
23,2008-06-09,36,19,5,7
