coverage,pseudonymisation,flow
10,0,851
510,0,1705
837,0,1934
554,0,1394
644,0,1216
410,0,1451
720,0,1578
484,0,920
403,0,890
573,0,1046
442,0,1628
585,0,1427
566,0,1492
620,0,1513
398,0,731
203,0,1131
723,0,1759
546,0,1502
631,0,1620
715,0,1527
497,0,1816
445,0,1003
595,0,1710
648,0,1028
