coverage,pseudonymisation,flow
10,0,851
510,89,1705
837,183,1934
554,85,1394
644,121,1216
410,95,1451
720,175,1578
484,66,920
403,53,890
573,107,1046
442,75,1628
585,88,1427
566,89,1492
620,115,1513
398,39,731
203,37,1131
723,132,1759
546,104,1502
631,118,1620
715,171,1527
497,115,1816
445,63,1003
595,130,1710
648,147,1028
