coverage,pseudonymisation,flow
15,0,851
641,0,1705
1074,0,1934
744,0,1394
808,0,1216
516,0,1451
912,0,1578
613,0,920
493,0,890
734,0,1046
566,0,1628
781,0,1427
724,0,1492
771,0,1513
526,0,731
273,0,1131
1007,0,1759
702,0,1502
831,0,1620
907,7,1527
646,0,1816
607,0,1003
735,0,1710
841,0,1028
