coverage,pseudonymisation,flow
41,24,851
1241,1058,1705
1879,1749,1934
1291,1128,1394
1423,1244,1216
959,906,1451
1552,1395,1578
941,750,920
745,552,890
1103,927,1046
1096,1021,1628
1428,1266,1427
1301,1160,1492
1405,1228,1513
908,713,731
541,474,1131
1760,1621,1759
1272,1099,1502
1511,1352,1620
1746,1608,1527
1405,1320,1816
979,772,1003
1210,1033,1710
1375,1195,1028
