coverage,pseudonymisation,flow
41,0,851
1241,11,1705
1879,0,1934
1291,0,1394
1423,0,1216
959,0,1451
1552,0,1578
941,0,920
745,0,890
1103,0,1046
1096,0,1628
1428,0,1427
1301,0,1492
1405,0,1513
908,0,731
541,0,1131
1760,0,1759
1272,0,1502
1511,0,1620
1746,0,1527
1405,0,1816
980,0,1003
1210,0,1710
1375,0,1028
